"museum jerke","1","M224608"
"fondation carmignac","0",NA
"EAMC Elke and Arno Morenz Collection","0",NA
"estorick collection of modern italian art","0",NA
"odunpazarı modern art foundation","0",NA
"mare museum of recent art","0",NA
"fondation francès","0",NA
"bourse de commerce","0",NA
"frederick r. weisman art foundation","1","M131788"
"galila’s p. o. c.","0",NA
"nader art museum latin america","0",NA
"museum no hero","0",NA
"verbeke foundation","0",NA
"la casabianca","1","M30160"
"pinacoteca giovanni e marella agnelli","1","M51675"
"muzeum susch","0",NA
"pejman foundation","0",NA
"museum more","0",NA
"museum macan / museum of modern and contemporary art in nusantara","0",NA
"Hakanto Contemporary","0",NA
"museum barberini","0",NA
"he art museum","0",NA
"sammlung wemhöner","0",NA
"centro de artes visuales/ fundación helga de alvear","0",NA
"art center hugo voeten","0",NA
"quetzal art centre","0",NA
"viinistu art museum","0",NA
"longhouse reserve","0",NA
"LAM Museum","0",NA
"the vilcek foundation","0",NA
"adrastus collection—collegium","0",NA
"the nabu museum collection","0",NA
"faurschou new york","0",NA
"kienzle art foundation","0",NA
"rocca stiftung","0",NA
"el espacio 23","0",NA
"Museo Fundación Juan March - Palma","0",NA
"Julia Stoschek Collection - Berlin","0",NA
"The Kasturbhai Lalbhai Museum","0",NA
"Kiran Nadar Museum of Art / Noida","0",NA
"transformer station","0",NA
"ges-2","0",NA
"M Woods Museum / Qianliang Hutong","0",NA
"luma foundation","0",NA
"the francis bacon mb art foundation","0",NA
"fonds m-arco—le box","0",NA
"centro botín","0",NA
"colección de arte amalia lacroze de  fortabat","0",NA
"The María Cristina Masaveu Peterson Foundation","0",NA
"langen foundation","1","M183048"
"didrichsen art museum","1","M29419"
"wanås foundation (wanås konst)","0",NA
"erarta museum","0",NA
"Donum Estate","0",NA
"the powers art center","0",NA
"audain art museum","0",NA
"mori art museum","1","M9101"
"Long Museum Chongqing","0",NA
"magazzino italian art","0",NA
"nicola erni collection","0",NA
"mcevoy foundation for the arts","0",NA
"givon art forum","0",NA
"peter marino art foundation","0",NA
"château de montsoreau–musée d’art contemporain","0",NA
"qiao space","0",NA
"tank shanghai","0",NA
"kemper museum of contemporary art","1","M71092"
"storm king art center","1","M63411"
"nasher sculpture center","0",NA
"woods art institute","0",NA
"kunstmuseum celle","0",NA
"collezione roberto casamonti","0",NA
"colección roberto polo","0",NA
"fondazione rolla/rolla.info","0",NA
"g2 kunsthalle","0",NA
"stiftung kunst und natur","0",NA
"Benesse Art Site","1","M215131"
"x museum","0",NA
"miettinen collection","0",NA
"the james museum","0",NA
"aïshti foundation","0",NA
"skulpturenpark waldfrieden","0",NA
"fotografische sammlung—  schloss kummerow","0",NA
"vass collection","0",NA
"arter","0",NA
"macura museum","0",NA
"song art museum","0",NA
"William louis-dreyfus family collection","0",NA
"museo sa bassa blanca","0",NA
"paul ege art collection","0",NA
"cap kuwait","0",NA
"institute of russian realist art (irra)","0",NA
"western bridge","0",NA
"overholland museum","0",NA
"the scheringa museum of realist art","0",NA
"sherman contemporary art foundation (scaf)","0",NA
"emile hannouche museum","0",NA
"pulitzer arts foundation","0",NA
"fondation beyeler","1","M47955"
"fundación federico jorge klemm","0",NA
"initial access","0",NA
"dairy art centre","0",NA
"colección contemporánea","0",NA
"jean-paul najar foundation","0",NA
"scrap metal gallery","0",NA
"museum dhondt-dhaenens","1","M230"
"museum insel hombroich","1","M21886"
"klaus j. jacobs collection","1","M16248"
"louisiana museum of modern art","1","M25177"
"francisco godia foundation","0",NA
"the lumiere brothers center for photography","0",NA
"musja","0",NA
"Safn Berlin","0",NA
"di rosa center for contemporary art","0",NA
"henie onstad kunstsenter","0",NA
"cass sculpture foundation","0",NA
"sammlung goetz","1","M48424"
"jarla partilager","0",NA
"Safn Reykjavik","0",NA
"Heidi Horten Collection","0",NA
"ka modern & contemporary art space","0",NA
"the beijing he jing yuan art museum","0",NA
"powerlong museum","0",NA
"art sonje center","0",NA
"Ilmin museum of art","0",NA
"Marciano Art Foundation","0",NA
"Im Obersteg Collection","0",NA
"Sammlung Emil Bührle","0",NA
"Werner Coninx Stiftung","0",NA
"Villa Flora","0",NA
